,texts,intents,categories
0,/batdau,beginner,chaohoi
1,/begin,beginner,chaohoi
2,/init,beginner,chaohoi
3,/start,beginner,chaohoi
4,Ai tạo ra bạn?,ana_creator,chaohoi
5,Alo,beginner,chaohoi
6,Ana tạo hộ với,how_create_lixi_box_s1,chaohoi
7,Ana ơi,beginner,chaohoi
8,Are you there,beginner,chaohoi
9,BEP20 là gì,what_is_bep20,term
10,BSC mainnet là gì,what_is_bsc,term
11,Bao lâu lận,complaining,chaohoi
12,Bước tiếp theo,next_step,chaohoi
13,Bạn là ai>,who_are_you,chaohoi
14,Bạn là ai?,who_are_you,chaohoi
15,Bạn ơi mình có rồi nhé,already_had,chaohoi
16,Bắt đầu thôi,beginner,chaohoi
17,Chào,beginner,chaohoi
18,Chào em,beginner,chaohoi
19,Chưa có ví bạn à,have_not_had,vi
20,Chờ bao lâu,complaining,chaohoi
21,Còn bao li xi không ạ,ask_remain_lixi,lixi
22,Có ai ko,beginner,chaohoi
23,Có ai ở đây không?,who_are_you,chaohoi
24,Có rồi,already_had,chaohoi
25,Hello,beginner,chaohoi
26,Hey,beginner,chaohoi
27,Hi,beginner,chaohoi
28,Hi Anna,beginner,chaohoi
29,Hướng dẫn nhận lì xì,register_receiver,lixi
30,Hướng dẫn tạo lì xì,how_create_lixi_box_s1,lixi
31,Không được,negative,chaohoi
32,Liên lạc ntn,ask_communicate,chaohoi
33,Làm sao tiếp bạn ơi,next_step,chaohoi
34,Làm sao để đổi BNB sang VNĐ,crypto_to_fiat,vi
35,Metamask là gì?,what_is_metamask,term
36,Mãi mình ko đc duyệt,complaining,chaohoi
37,Mình có thể mint NFT sau khi nhận bao li xi thế nào!,what_is_nft,term
38,Mình muốn hỏi chút,beginner,chaohoi
39,Mình muốn nhận lì xì,register_receiver,lixi
40,NFT là gì,what_is_nft,term
41,Nhất trí,ok,chaohoi
42,Nhận lxi sao vậy  ad,register_receiver,lixi
43,Nhận lì xì,register_receiver,lixi
44,Nhận lì xì như nào?,register_receiver,lixi
45,Nhận lì xì như thế nào,register_receiver,lixi
46,Nhận lì xì như thế nào?,register_receiver,lixi
47,Sao lâu duyệt quá,complaining,chaohoi
48,Thêm mạng,add_bsc_mainnet,mang
49,Thêm mạng binance,add_bsc_mainnet,mang
50,Thêm mạng bsc,add_bsc_mainnet,mang
51,Thông tin lì xì gồm những gì,how_create_lixi_box_s1,lixi
52,Thông tin lì xì gồm những gì?,how_create_lixi_box_s2,lixi
53,Thông tin mình đã xong chưa ạ,ask_process,chaohoi
54,Tiếp theo tôi phải làm gì?,next_step,chaohoi
55,Trong lì xì có gì?,how_create_lixi_box_s2,lixi
56,Tại sao ko hợp lệ,ask_email_invalid,chaohoi
57,Tạo bao lì xì,how_create_lixi_box_s1,lixi
58,Tạo lì xì như thế nào?,how_create_lixi_box_s1,lixi
59,Xin chào Ana,beginner,chaohoi
60,ai thế nhỉ?,who_are_you,chaohoi
61,ai tạo ra bạn?,ana_creator,chaohoi
62,ai đây nhỉ,who_are_you,chaohoi
63,ai đây ta?,who_are_you,chaohoi
64,alo,beginner,chaohoi
65,bat dau,beginner,chaohoi
66,bsc là cái gì?,what_is_bsc,term
67,bạn là ai,who_are_you,chaohoi
68,bạn là ai?,who_are_you,chaohoi
69,chuyển tiền từ ví binance sang ví metamask như thế nào?,binance_to_metamask,vi
70,chào,beginner,chaohoi
71,chơi cái này kiểu gì?,how_play_jackpot,xoxo
72,chơi xổ số như nào,how_play_jackpot,xoxo
73,chơi xổ số như thế nào,how_play_jackpot,xoxo
74,chơi xổ số thế nào,how_play_jackpot,xoxo
75,chưa,have_not_had,vi
76,chưa có,have_not_had,vi
77,Chưa có ví bạn à,have_not_had,vi
78,chưa em ei,have_not_had,vi
79,co roi,already_had,chaohoi
80,crypto là gì,what_is_crypto,term
81,có,ok,chaohoi
82,có ai ở đây không?,who_are_you,chaohoi
83,có em ei,ok,chaohoi
84,có rồi,already_had,vi
85,có rồi nhé,already_had,vi
86,có ví rồi,already_had,vi
87,gas fee,what_is_gas_fee,term
88,hallo Ana,beginner,chaohoi
89,hello,beginner,chaohoi
90,hi,beginner,chaohoi
91,ket noi xong lam gi,next_step,chaohoi
92,khong thay,negative,chaohoi
93,không,negative,chaohoi
94,không hiểu,negative,chaohoi
95,ki,ok,chaohoi
96,la sao,not_understand,chaohoi
97,metamask là gì,what_is_metamask,term
98,mua crypto như thế nào?,how_get_crypto,vi
99,mình muốn hỏi chút,beginner,chaohoi
100,mình rút tiền như thế nào ạ?,how_withdraw,vi
101,mình đã có ví,already_had,vi
102,mạng lưới là gì,add_bsc_mainnet,mang
103,nft là cái gì nhỉ?,what_is_nft,term
104,nft là gì?,what_is_nft,term
105,nhận lì xì như nào,register_receiver,lixi
106,nhận lì xì như nào Ana ơi,register_receiver,lixi
107,nhận lì xì như nào em ei,register_receiver,lixi
108,nhận lì xì như nào nhỉ,register_receiver,lixi
109,nhận lì xì như nào?,register_receiver,lixi
110,nhận lì xì như thế nào?,register_receiver,lixi
111,nhận lì xì thế nào,register_receiver,lixi
112,nội bộ,internal_jackpot,vi
113,ok,ok,chaohoi
114,ok tiếp,next_step,chaohoi
115,rút tiền ra thế nào,how_withdraw,vi
116,rồi,already_had,chaohoi
117,sao tôi không nhận được lì xì,register_receiver,lixi
118,sao tôi không nhận được lì xì?,register_receiver,lixi
119,seed Phrase là gì?,what_is_seedphase,term
120,seed phase là gì,what_is_seedphase,term
121,seed phase là gì?,what_is_seedphase,term
122,seed phrase là cái gì?,what_is_seedphase,term
123,seed phrase là gì,what_is_seedphase,term
124,"tNo Ethereum browser extension detected, install MetaMask on desktop or visit from a dApp browser on mobile.",error_no_metamask_browser,error
125,thêm mạng bsc,add_bsc_mainnet,mang
126,thế chơi xổ số như nào,how_play_jackpot,xoxo
127,thế còn xổ số toàn thể?,external_jackpot,xoxo
128,thế xổ số nội bộ là cái gì,internal_jackpot,xoxo
129,tiếp,next_step,chaohoi
130,tôi muốn hỏi,beginner,chaohoi
131,tôi muốn nhận lì xì,register_receiver,lixi
132,"tạo hộ được không, lười quá",how_create_lixi_box_s1,lixi
133,tạo lì xì,how_create_lixi_box_s1,lixi
134,tạo lì xì như nào,how_create_lixi_box_s1,lixi
135,tạo lì xì thì như nào,how_create_lixi_box_s1,lixi
136,tạo ví mới ở đâu ạ,create_metamask,vi
137,tạo ví mới ở đâu ạ?,create_metamask,vi
138,ví không có tiền,wallet_not_has_gas,vi
139,xin chào,beginner,chaohoi
140,xo so la gi,how_play_jackpot,xoxo
141,xổ số nội bộ,internal_jackpot,xoxo
142,xổ số nội bộ là cái gì,internal_jackpot,xoxo
143,xổ số tập thể,external_jackpot,xoxo
144,yes,ok,chaohoi
145,Đã có,already_had,chaohoi
146,Đổi mạng,add_bsc_mainnet,mang
147,đâu mất rồi ta,continue,chaohoi
148,ơ thế tạo lì xì như nào,how_create_lixi_box_s1,lixi
149,ơ xổ số là gì ấy nhể,how_play_jackpot,xoxo
150,Ồ,ok,chaohoi
151,ừ,ok,chaohoi
